Date,Open,High,Low,Close,Volume
2026-01-01,2325.00,2331.50,2320.80,2329.00,9000
2026-01-02,2329.59,2334.95,2326.31,2330.59,9137
2026-01-03,2331.71,2336.60,2328.67,2332.10,9274
2026-01-04,2333.61,2336.43,2329.28,2333.46,9411
2026-01-05,2335.21,2339.38,2331.13,2334.64,9548
2026-01-06,2336.43,2341.04,2332.82,2335.58,9685
2026-01-07,2337.22,2340.34,2332.14,2336.26,9822
2026-01-08,2337.57,2341.51,2332.95,2336.66,9959
2026-01-09,2337.48,2342.15,2334.25,2336.74,10096
2026-01-10,2337.00,2340.41,2332.51,2336.53,10233
2026-01-11,2336.19,2339.88,2332.14,2336.02,10370
2026-01-12,2335.12,2339.94,2332.91,2335.24,10507
2026-01-13,2333.88,2337.90,2329.99,2334.21,10644
2026-01-14,2332.54,2336.41,2328.53,2332.99,10781
2026-01-15,2331.19,2336.28,2328.71,2331.60,10918
2026-01-16,2329.87,2334.04,2326.15,2330.11,11055
2026-01-17,2328.65,2331.78,2324.46,2328.58,11192
2026-01-18,2327.53,2332.15,2324.30,2327.05,11329
2026-01-19,2326.55,2330.70,2322.08,2325.60,11466
2026-01-20,2325.69,2328.52,2320.10,2324.27,11603
2026-01-21,2324.95,2329.46,2320.11,2323.12,11740
2026-01-22,2324.31,2328.65,2318.90,2322.19,11877
2026-01-23,2323.75,2326.27,2317.31,2321.51,12014
2026-01-24,2323.28,2327.64,2317.85,2321.12,12151
2026-01-25,2322.90,2327.39,2317.96,2321.01,12288
2026-01-26,2322.61,2325.40,2317.02,2321.20,12425
2026-01-27,2322.44,2326.62,2318.19,2321.69,12562
2026-01-28,2322.43,2327.04,2319.64,2322.44,12699
2026-01-29,2322.60,2326.53,2318.48,2323.43,12836
2026-01-30,2323.00,2328.59,2319.30,2324.63,12973
2026-01-31,2323.65,2330.66,2321.14,2325.98,13110
2026-02-01,2324.56,2330.83,2320.53,2327.45,13247
2026-02-02,2325.74,2332.68,2321.87,2328.96,13384
2026-02-03,2327.16,2335.18,2324.94,2330.48,13521
2026-02-04,2328.78,2335.61,2324.89,2331.94,13658
2026-02-05,2330.53,2336.74,2326.53,2333.30,13795
2026-02-06,2332.34,2339.19,2329.88,2334.51,13932
2026-02-07,2334.09,2339.44,2330.36,2335.53,9069
2026-02-08,2335.71,2339.48,2331.60,2336.33,9206
2026-02-09,2337.09,2341.71,2334.16,2336.89,9343
2026-02-10,2338.14,2342.28,2333.67,2337.21,9480
2026-02-11,2338.81,2341.66,2333.10,2337.27,9617
2026-02-12,2339.05,2343.57,2334.10,2337.10,9754
2026-02-13,2338.87,2343.20,2333.41,2336.72,9891
2026-02-14,2338.28,2340.81,2331.96,2336.16,10028
2026-02-15,2337.33,2341.70,2332.21,2335.46,10165
2026-02-16,2336.11,2340.60,2331.59,2334.66,10302
2026-02-17,2334.73,2337.50,2329.63,2333.81,10439
2026-02-18,2333.29,2337.48,2329.49,2332.97,10576
2026-02-19,2331.92,2336.79,2329.12,2332.19,10713
2026-02-20,2330.72,2334.60,2326.59,2331.53,10850
2026-02-21,2329.80,2334.99,2326.11,2331.02,10987
2026-02-22,2329.22,2335.38,2326.69,2330.70,11124
2026-02-23,2329.04,2333.99,2325.00,2330.62,11261
2026-02-24,2329.27,2334.52,2325.41,2330.80,11398
2026-02-25,2329.91,2335.93,2327.66,2331.23,11535
2026-02-26,2330.91,2335.59,2327.00,2331.94,11672
2026-02-27,2332.21,2336.37,2328.21,2332.91,11809
2026-02-28,2333.75,2338.81,2331.31,2334.13,11946
2026-03-01,2335.44,2339.45,2331.70,2335.55,12083
2026-03-02,2337.19,2340.36,2333.04,2337.15,12220
2026-03-03,2338.94,2343.57,2336.16,2338.87,12357
2026-03-04,2340.62,2344.80,2337.07,2340.67,12494
2026-03-05,2342.18,2345.36,2338.01,2342.49,12631
2026-03-06,2343.59,2348.80,2340.61,2344.28,12768
2026-03-07,2344.85,2350.28,2341.52,2345.96,12905
2026-03-08,2345.95,2350.06,2341.75,2347.51,13042
